sentiment,text
neutral,"erkki jarvinen , president of rautakirja and the head of the sanoma trade division , will leave his current tasks in spring 2009 for a similar position outside the sanoma group"
neutral,no other ev 3 devices were involved in this action
neutral,"this order , when delivered , will bring the total output of electricity in italy generated by wartsila equipment to more than 1 , 300 mw"
neutral,"currently , yit builds a housing estate zapadnye vorota 26 , 000 square metres in the city and a house 9 , 910 square metres , which will be completed at the end of 2009"
neutral,this includes a eur 39.5 mn change in the fair value of investment properties
positive,"pretax profit totalled eur 2.0 mn , compared to a loss of eur 159.2 mn in the fourth quarter of 2008"
neutral,"previously , the company also delivered about 70 % of the steel used in oasis of the seas , allure of the seas sister ship completed last year"
neutral,"helsinki-based componenta bought turkish listed company doktas in october 2006 for 89 million euros , making it the largest finnish investment in turkey to date"
positive,"both operating_profit and net_sales for the 12 -month period increased , respectively from eur 20.8 m and eur 177.7 m , as compared to the financial year 2004"
neutral,serving customers locally is one of the cornerstones of customer focus for us
neutral,"conference call to participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 020 71620025 europe or +1 334 - 323 - 6201 usa"
positive,"manavigator-september 7 , 2010 -kemira unveils indian jv with ivrcl finnish chemicals group kemira ( hel : kra 1 v ) on tuesday announced it has inked a deal to form a joint_venture in india with local construction firm ivrcl infrastructure and projects ltd ( bom : 530773 )"
neutral,"last year , the firm also acquired realprojekti oy , a real estate development company , to advise capman on its property activities"
neutral,"s group s loyal customer magazine yhteishyv+ came second with 1 , 629 , 000 readers and sanoma corporation s daily newspaper helsingin sanomat was third with 1 , 097 , 000 readers"
positive,"the company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year"
neutral,"elcoteq s electronics manufacturing services ( ems ) business segment serves customers globally in engineering , manufacturing and fulfillment services"
neutral,j+ rvi-suomen portti is also planning to reduce the use of sodium nitrite
neutral,"the stonegate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing"
neutral,"established in 1987 , the srv group is a private finnish construction concern with operations in finland , the baltic countries and russia"
neutral,the sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments
neutral,less than ten people will face pension agreements
negative,"seven-month sales of ragutis , which is controlled by the finnish brewery olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market"
negative,"ssh communications security corp stock exchange release october 14 , 2008 at 2 : 45 pm the company updates its full year outlook and estimates its results to remain at loss for the full year"
positive,"operating_profit was eur 0.6 mn , up from a loss of eur 19 mn a year earlier"
neutral,"the maximum grade of the veneer yield is calculated , based on the dimensions and grades of the veneer products , as well as by iterating the places of the peeling axes and simulating the peeling process"
neutral,"under the changes envisaged , hk ruokatalo would reduce its number of industrial places of business in finland from eight to six"
neutral,"a total of 131000 talvivaara mining company plc s new shares were subscribed for during the period between may 1 , 2010 and june 30 , 2010 under the company s stock option rights 2007 a"
neutral,"ponsse plans to create a network that is based on strong partnership , and participates in the production of larger entities than presently"
negative,"the omx helsinki 25 ended 0.47 pct lower at 3 , 150.55 and the omx helsinki was down 0.21 pct at 10 , 736.42 on 1.523 bln eur turnover"
neutral,production is scheduled to start by the end of april 2007
negative,diluted earnings per share ( eps ) declined to eur 0.78 from eur 1.76
neutral,"aho is proud of the company s new_product , lordi-cola"
positive,"according to karhinen , op-pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself"
negative,the company reported today an operating_loss of eur 0.1 m on net_sales of eur 4.5 m for the first quarter 2008
neutral,"the company is headquartered in sievi , finland , and is listed on the nordic exchange in helsinki"
neutral,price talk is in the euribor plus 2 bps area and the sole lead is citigroup
neutral,"the decision will have to be made whether the group agrees to the import of estonian meat and meat products to finland , the paper added"
neutral,"in the first quarter of 2008 , sacanfil s net_sales totalled eur 50.0 mn and its operating_profit eur 4.7 mn"
neutral,w+ rtsil+ s aim is to serve the rapidly growing number of vessels and increasing marine activity in the barents sea region
neutral,"adpnews - dec 23 , 2009 - norwegian financial services group sparebank 1 gruppen as osl : sbgrp said its board of directors appointed today jarle haug managing director of its claims collection subsidiary sparebank 1 gruppen finans @ neutral marathon estimates the value of its remaining stake in protalix at $ 27 million"
positive,"at first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln )"
neutral,"and when it has lifted the veil on the various types of customer for which it designs its phones , the result is social stereotyping taken to a fine art"
neutral,"new chairman of the board of directors , mr chaim katzman , will give a presentation and answer questions"
positive,"the vaisala group is a successful international technology company that develops , manufactures and markets electronic measurement systems and products"
neutral,"uk s sarantel to outsource part of its processes to elcoteq plant in estonia london , oct 13 , bns - the british miniature antennas maker sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of elcoteq in the estonian capital tallinn"
positive,"the total area of the gorelovo plant is about 22 , 000 sq m. atria invested about euro 70 mn in the plant , which should double atria russia s production capacity in the st petersburg area"
neutral,"in 2008 , kemira recorded revenue of approximately eur 2.8 billion and had a staff of 9 , 400"
negative,"the staff reduction will start immediately , glaston added"
positive,"revenue in july to september grew 14 percent to ( euro ) 467 million from a year earlier , the company said thursday"
negative,"paper companies were in negative territories , with stora enso r shedding 1.62 pct to 12.73 eur , upm-kymmene down 0.80 pct at 18.64 eur and m-real b 0.18 pct lower at 5.57 eur"
positive,"neste oil has responded to the challenge posed by the european union s target of biofuels accounting for 5.8 % of traffic fuel usage in the eu by 2010 by developing its nexbtl technology for producing diesel fuel from renewables , the federation said"
neutral,currently the quarterly applied surcharges differ significantly from the actual market prices
neutral,"in 2006 the company s net_sales amounted to approximately eur 259 m and it has some 8 , 000 employees"
neutral,"industry in asia + pakistan , malaysia , taiwan and philippines today , global research & data services is going to publish several market analyses about the cement markets in asia"
neutral,the order was valued at usd 12.2 m. @ neutral the order was worth eur 8 mn
neutral,"also , technopolis plans to build a 100 million euro technology park at the special economic zone neudorf in st. petersburg , the st. petersburg government said in february"
neutral,"these companies own a 20 , 000 sq . m. office and commercial building and substantial amount of building right for a new shopping center in liljeholmen , stockholm"
positive,the training modules aim at strengthening the public accounting abilities and fulfilling communal project management
negative,the number of salaried employees and group administration employees to be dismissed from the sievi units is 17
neutral,"after completion of the acquisition , poyry s oil and gas expertise will cover multi-discipline engineering and consulting services across the complete oil and gas asset lifecycle , including deepwater engineering services"
neutral,the solution will be installed in the usa to support the north american operations of the customer
neutral,"in 2009 , lee & man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300 , 000 tonnes of pulp"
positive,"dirk jones , head of financial institutions client sales management , gts , citigroup , inc , said , citi is extremely pleased to be providing global custody services to pohjola group bank"
neutral,"the biggest challenge was to make the piece look raw , hansen said"
positive,"press release 9 october 2009 ruukki has signed a contract to deliver and install the steel structures for a bridge over the kyronsalmi strait in savonlinna , finland"
neutral,the group said it intends to initiate within this year the process of buyout of minority shareholders of ragutis with the aim of becoming the sole owner of the company
neutral,the transaction is planned to be financed with a eur 40 m market-based loan granted by standard chartered bank hong kong
negative,"capacity will ease at its seikku sawmill in pori and alholma sawmill in pietarsaari and result in 60 people being laid off for around six weeks starting mid-may , it said"
neutral,"seppala transferred the sale to a greater extent than last year to february , and this is reflected on the january sales figures"
neutral,"the contracts awarded to date , in connection with the system , amount to a total eur 36 million"
neutral,"-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- munich , 14 january 2008 : bavaria industriekapital ag closed the acquisition of elcoteq communications technology gmbh in offenburg , germany , with the approval of the @ neutral - cash_flow from operating activities before investments was eur 0.8 -1.2 million"
