,word,type
0,operations,leading
1,new service,leading
2,stores,leading
3,deal,leading
4,passenger,leading
5,partnership,leading
6,new customer,leading
7,product,leading
8,production,leading
9,cds,leading
10,joint venture,leading
11,partner,leading
12,operation,leading
13,investment,leading
14,new factory,leading
15,new store,leading
16,properties,leading
17,capacity,leading
18,person,leading
19,efficient,pos
20,personnel,leading
21,workers,leading
22,people,leading
23,factory,leading
24,occupancy,leading
25,number of outlets,leading
26,equipment,leading
27,efficiencies,pos
28,employee,leading
29,workforce,leading
30,staff,leading
31,load factor,leading
32,new deal,leading
33,customer satisfaction,leading
34,customers,leading
35,jobs,leading
36,offering,leading
37,offer,leading
38,contracts,leading
39,worker,leading
40,price,leading
41,material,leading
42,new plant,leading
43,agreement,leading
44,outlets,leading
45,plant,leading
46,efficiency,pos
47,job,leading
48,traffic,leading
49,demand,leading
50,prices,leading
51,occupancy rate,leading
52,tariff,leading
53,new subscriber,leading
54,customer,leading
55,passengers,leading
56,patent,leading
57,persons,leading
58,employees,leading
59,utilization,leading
60,contract,leading
61,productivity,leading
62,new product,leading
63,store,leading
64,venture,leading
65,output,leading
66,headcount,leading
67,investments,leading
68,patents,leading
69,raw material,leading
70,gdp,lagging
71,roi,lagging
72,ordered,lagging
73,revenue,lagging
74,orders,lagging
75,money,lagging
76,profit before tax,lagging
77,eps,lagging
78,export,lagging
79,net sale,lagging
80,margins,lagging
81,inventories,lagging
82,ebitda,lagging
83,net sales,lagging
84,pat,lagging
85,profit,lagging
86,sale,lagging
87,return on investment,lagging
88,profitability,pos
89,inventory turns,lagging
90,return equity,lagging
91,inventory,lagging
92,interest,lagging
93,income,lagging
94,performance,lagging
95,operating result,lagging
96,market share,lagging
97,inventory turn,lagging
98,exports,lagging
99,earnings,lagging
100,equity,lagging
101,sales,lagging
102,volume,lagging
103,sales volume,lagging
104,earning,lagging
105,sales numbers,lagging
106,dividend,lagging
107,ebit,lagging
108,operating profit,lagging
109,pbt,lagging
110,cash flow,lagging
111,revenues,lagging
112,return on capital,lagging
113,order size,lagging
114,cash,lagging
115,return capital,lagging
116,profit after tax,lagging
117,profits,lagging
118,turnover,lagging
119,return investment,lagging
120,return on equity,lagging
121,margin,lagging
122,order,lagging
123,order frequency,lagging
124,earnings per share,lagging
125,loss,neg
126,consumption,lagging-rev
127,tax,lagging-rev
128,operating expense,lagging-rev
129,costs,lagging-rev
130,taxes,lagging-rev
131,expenses,lagging-rev
132,operating loss,lagging-rev
133,cost,lagging-rev
134,operating cost,lagging-rev
135,net loss,lagging-rev
136,expense,lagging-rev
137,win-win,up
138,rocketed,up
139,rocket,up
140,less,down
141,reductions,down
142,saves,up
143,terminate,neg
144,surpass,pos
145,cuts,down
146,widen,up
147,saved,up
148,boosts,up
149,cut,neg
150,violate,neg
151,rose,up
152,decreases,down
153,slips,down
154,decreased,down
155,swinged,up
156,save,up
157,narrows,down
158,increased,up
159,triple,up
160,beat,up
161,lay-offs,down
162,downs,down
163,rise,up
164,upgrade,up
165,increases,up
166,burden,neg
167,fall,down
168,quadrupled,up
169,shutted,down
170,lost,neg
171,outperform,pos
172,reduces,down
173,drop,down
174,laying,down
175,doubled,up
176,shrink,down
177,slide,down
178,rockets,up
179,hike,up
180,doubles,up
181,soar,up
182,reduced,down
183,raises,up
184,strengthened,pos
185,exceed,up
186,plummet,down
187,burdens,neg
188,declines,neg
189,violated,neg
190,signs,up
191,reduce,down
