word,type
operations,leading
new service,leading
stores,leading
deal,leading
passenger,leading
partnership,leading
new customer,leading
product,leading
production,leading
cds,leading
joint venture,leading
partner,leading
operation,leading
investment,leading
new factory,leading
new store,leading
properties,leading
capacity,leading
person,leading
efficient,pos
personnel,leading
workers,leading
people,leading
factory,leading
occupancy,leading
number of outlets,leading
equipment,leading
efficiencies,pos
employee,leading
workforce,leading
staff,leading
load factor,leading
new deal,leading
customer satisfaction,leading
customers,leading
jobs,leading
offering,leading
offer,leading
contracts,leading
worker,leading
price,leading
material,leading
new plant,leading
agreement,leading
outlets,leading
plant,leading
efficiency,pos
job,leading
traffic,leading
demand,leading
prices,leading
occupancy rate,leading
tariff,leading
new subscriber,leading
customer,leading
passengers,leading
patent,leading
persons,leading
employees,leading
utilization,leading
contract,leading
productivity,leading
new product,leading
store,leading
venture,leading
output,leading
headcount,leading
investments,leading
patents,leading
raw material,leading
gdp,lagging
roi,lagging
ordered,lagging
revenue,lagging
orders,lagging
money,lagging
profit before tax,lagging
eps,lagging
export,lagging
net sale,lagging
margins,lagging
inventories,lagging
ebitda,lagging
net sales,lagging
pat,lagging
profit,lagging
sale,lagging
return on investment,lagging
profitability,pos
inventory turns,lagging
return equity,lagging
inventory,lagging
interest,lagging
income,lagging
performance,lagging
operating result,lagging
market share,lagging
inventory turn,lagging
exports,lagging
earnings,lagging
equity,lagging
sales,lagging
volume,lagging
sales volume,lagging
earning,lagging
sales numbers,lagging
dividend,lagging
ebit,lagging
operating profit,lagging
pbt,lagging
cash flow,lagging
revenues,lagging
return on capital,lagging
order size,lagging
cash,lagging
return capital,lagging
profit after tax,lagging
profits,lagging
turnover,lagging
return investment,lagging
return on equity,lagging
margin,lagging
order,lagging
order frequency,lagging
earnings per share,lagging
win-win,up
rocketed,up
rocket,up
less,down
reductions,down
saves,up
terminate,neg
surpass,pos
cuts,down
widen,up
saved,up
boosts,up
cut,neg
violate,neg
rose,up
decreases,down
slips,down
decreased,down
swinged,up
save,up
narrows,down
increased,up
triple,up
beat,up
lay-offs,down
downs,down
rise,up
upgrade,up
increases,up
burden,neg
fall,down
quadrupled,up
loss,neg
shutted,down
lost,neg
outperform,pos
reduces,down
drop,down
laying,down
doubled,up
shrink,down
slide,down
rockets,up
hike,up
doubles,up
soar,up
reduced,down
raises,up
strengthened,pos
exceed,up
plummet,down
burdens,neg
declines,neg
violated,neg
signs,up
reduce,down
sign,up
jump,up
widened,up
slowed,neg
burdened,neg
slumps,down
strengthenes,up
exceeded,up
violates,neg
declined,neg
risen,up
bullish,up
jumped,up
bearish,down
ups,up
increase,up
speeded,up
laid,down
won,up
slash,down
liquidate,neg
falling,down
boost,pos
jumps,up
speed,up
multiplied,up
shut,neg
triples,up
recruits,up
fluctuates,down
terminated,neg
climbs,up
downgrades,neg
weak,neg
fluctuated,down
slow,neg
awards,up
negatives,neg
multiplies,up
downgrade,neg
rises,up
downgraded,neg
improve,pos
gained,pos
lay-off,down
plunges,down
improved,pos
tripled,up
climbed,up
diminished,neg
surge,up
improves,pos
plummets,down
exceeds,up
climb,up
narrow,down
warning,neg
speeds,up
struggle,neg
upgraded,up
raised,up
saving,up
slipped,down
redundants,down
lifted,up
height,up
down,down
